code_suas,municipio,cod_ibge,uf,nome_centro,tipo_centro,endereco,telefone,data_abertura,fonte_centros,fonte_geocode,lon,lat
23076520235,Maracanaú,2307650,CE,CRAS PARQUE SÃO JOAO,CRAS,"Padre Itapoa, 1389 - Siqueira, Maracanaú - CE, 60732150",8533833522,02/08/2010,MDS,Google,-38.6197045,-3.815618
31129015001,Caputira,3112901,MG,CRAS Constantino Soares Martins - Prefeito Tininho,CRAS,"Padre Joaquim de Castro, 54 - Centro, Caputira - MG, 36925000",3138735138,21/08/2009,MDS,Google,-42.2705869,-20.172389
29046002900,Brumado,2904605,BA,CRAS Irmã Dulce,CRAS,"Padre José Dias, 163 - São Félix, Brumado - BA, 46100000",7734412945,01/12/2006,MDS,Google,-41.6593092,-14.2020805
31252033061,Fama,3125200,MG,CRAS  CECILIO ABRÁSCIO,CRAS,"Padre José Nasser, 59 - CENTRO, Fama - MG, 37144000",3532961125,31/05/2011,MDS,Google,-45.83203710000001,-21.4044505
51071814885,Ribeirão Cascalheira,5107180,MT,CRAS - Tiburcio Americo dos Santos,CRAS,"Padre João Bosco, 0 - Alvorada, Ribeirão Cascalheira - MT, 78675000",6634891947,20/08/2014,MDS,Google,-51.5150077,-12.9302494
29253002486,Porto Seguro,2925303,BA,CENTRO DE REFERENCIA DA ASSISTENCIA SOCIAL - CENTRO,CRAS,"Padre João Climaco, 31 - Campinho, Porto Seguro - BA, 45810000",33991121389,01/01/2006,MDS,Google,-39.0776483,-16.4421683
41218030064,Ribeirão Claro,4121802,PR,CRAS CASA DA FAMÍLIA,CRAS,"Padre João Menendez, 0 - Centro, Ribeirão Claro - PR, 86410000",4335362406,12/10/2010,MDS,Google,-49.7566649,-23.1953978
31237010175,Engenheiro Caldas,3123700,MG,CRAS Centro de Referência de Assistência Social de Engenheiro Caldas,CRAS,"Padre João Pina do Amaral, 384 - Vila Rainha, Engenheiro Caldas - MG, 35130000",33984396828,05/05/2008,MDS,Google,-42.0433112,-19.2005804
31096006800,Cachoeira da Prata,3109600,MG,CRAS Cachoeira da Prata,CRAS,"Padre João Ribeiro da Cruz, 836 - Centro, Cachoeira da Prata - MG, 35765000",3137161213,01/01/2008,MDS,Google,-44.455474,-19.5270319
31711032079,Veríssimo,3171105,MG,CRAS Pedro Ítalo da Silva,CRAS,"Padre Julio De Razz, 501 - Centro, Veríssimo - MG, 38150000",3433231485,01/04/2011,MDS,Google,-48.30715619999999,-19.6769951
